Unix_Timestamp,Action_Label,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1776200364.272985,Rest,1,2,0,0,1,0,-1,-1,0.68646240234375,-0.35546875,-0.02777099609375,0.63372802734375,-0.40283203125,-0.51318359375,0.73828125,0.1875,-0.25,-0.125
1776200364.272985,Rest,-8,-3,-1,-1,-1,-2,2,0,0.68646240234375,-0.35546875,-0.02777099609375,0.63372802734375,-0.40283203125,-0.51318359375,0.73828125,0.1875,-0.25,-0.125
1776200364.280278,Rest,0,-1,1,-3,-1,0,-1,0,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.4052734375,-0.509765625,0.7373046875,0.0,-0.25,-0.25
1776200364.280278,Rest,3,0,-2,-1,-1,0,-1,-3,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.4052734375,-0.509765625,0.7373046875,0.0,-0.25,-0.25
1776200364.295016,Rest,-1,-4,-3,2,1,2,1,-1,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.4052734375,-0.509765625,0.7373046875,0.0,-0.25,-0.25
1776200364.295016,Rest,-5,-2,1,-1,-1,1,-3,-3,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.4052734375,-0.509765625,0.7373046875,0.0,-0.25,-0.25
1776200364.302612,Rest,-10,2,0,-1,-1,1,8,-3,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.40478515625,-0.51416015625,0.7392578125,-0.1875,-0.25,-0.1875
1776200364.302612,Rest,23,4,-3,0,-3,0,-1,0,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.40478515625,-0.51416015625,0.7392578125,-0.1875,-0.25,-0.1875
1776200364.310754,Rest,-1,-1,-3,0,-1,-2,0,-1,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.40478515625,-0.51416015625,0.7392578125,-0.1875,-0.25,-0.1875
1776200364.310754,Rest,-5,-1,-4,-3,0,-1,2,1,0.68646240234375,-0.35546875,-0.0277099609375,0.63372802734375,-0.40478515625,-0.51416015625,0.7392578125,-0.1875,-0.25,-0.1875
